# BLE fragments with sequence counter and ASCII payload
# Format: source_file | timestamp_ms | seq | total_bytes | payload_after_seq_byte
# Total: 41836 fragments (showing first 5000)

pt30_raw_ble_fragments_active.jsonl | ts=1777060968186 | seq= 99 | len=20 | '00,12.86,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060968190 | seq=100 | len=20 | '0:02:47,35.986625,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060968194 | seq=101 | len=20 | '85.012405,0,180,9,5'
pt30_raw_ble_fragments_active.jsonl | ts=1777060968199 | seq=102 | len=19 | '45,0.9,12046,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060968756 | seq=103 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060968760 | seq=104 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060968764 | seq=105 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060968769 | seq=106 | len=20 | '00,12.86,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060968773 | seq=107 | len=20 | '0:02:48,35.986625,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060968776 | seq=108 | len=20 | '85.012405,0,180,9,5'
pt30_raw_ble_fragments_active.jsonl | ts=1777060968779 | seq=109 | len=19 | '45,1.0,12047,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060969252 | seq=110 | len=20 | 'Buffer: 0,30591,305'
pt30_raw_ble_fragments_active.jsonl | ts=1777060969256 | seq=111 | len=7 | '92,0\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060970227 | seq=112 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060970241 | seq=113 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060970245 | seq=114 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060970251 | seq=115 | len=20 | '00,12.86,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060970254 | seq=116 | len=20 | '0:02:49,35.986625,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060970257 | seq=117 | len=20 | '85.012405,0,180,9,5'
pt30_raw_ble_fragments_active.jsonl | ts=1777060970263 | seq=118 | len=19 | '45,0.9,12048,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060971185 | seq=119 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060971190 | seq=120 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060971195 | seq=121 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060971202 | seq=122 | len=20 | '00,12.87,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060971206 | seq=123 | len=20 | '0:02:50,35.986625,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060971210 | seq=124 | len=5 | '85.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060971214 | seq=125 | len=20 | '12397,0,90,9,545,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060971218 | seq=126 | len=14 | '9,12049,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060972146 | seq=127 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060972149 | seq=128 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060972154 | seq=129 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060972158 | seq=130 | len=20 | '00,12.87,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060972161 | seq=131 | len=20 | '0:02:51,35.986625,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060972164 | seq=132 | len=20 | '85.012397,0,90,9,54'
pt30_raw_ble_fragments_active.jsonl | ts=1777060972167 | seq=133 | len=18 | '5,0.9,12050,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060973181 | seq=134 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060973184 | seq=135 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060973210 | seq=136 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060973213 | seq=137 | len=20 | '00,12.87,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060973217 | seq=138 | len=20 | '0:02:52,35.986625,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060973220 | seq=139 | len=20 | '85.012397,0,90,9,54'
pt30_raw_ble_fragments_active.jsonl | ts=1777060973223 | seq=140 | len=18 | '5,1.0,12051,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060974171 | seq=141 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060974175 | seq=142 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060974179 | seq=143 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060974187 | seq=144 | len=20 | '00,12.87,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060974190 | seq=145 | len=20 | '0:02:53,35.986625,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060974195 | seq=146 | len=20 | '85.012397,0,90,9,54'
pt30_raw_ble_fragments_active.jsonl | ts=1777060974199 | seq=147 | len=18 | '5,0.9,12052,349\r\n'
pt30_raw_ble_fragments_active.jsonl | ts=1777060975146 | seq=148 | len=20 | 'Data: 0,3AKJHHDR1RS'
pt30_raw_ble_fragments_active.jsonl | ts=1777060975150 | seq=149 | len=20 | 'UX1166,0,0,563082.0'
pt30_raw_ble_fragments_active.jsonl | ts=1777060975154 | seq=150 | len=20 | '85,0.000,9023.45,0.'
pt30_raw_ble_fragments_active.jsonl | ts=1777060975158 | seq=151 | len=20 | '00,12.87,04/24/26,2'
pt30_raw_ble_fragments_active.jsonl | ts=1777060975162 | seq=152 | len=20 | '0:02:54,35.986625,-'
pt30_raw_ble_fragments_active.jsonl | ts=1777060975165 | seq=153 | len=20 | '85.012397,0,90,9,54'
